    Darilo          Klobuk
   219 USD     172791 mEUR
    63 USD     222498 mEUR
    31 USD     246957 mEUR
    33 EUR     279957 mEUR
   357 EUR     636957 mEUR
   125 USD     735582 mEUR
   267 EUR    1002582 mEUR
   236 USD    1188786 mEUR
   260 USD    1393926 mEUR
   412 GBP    1917578 mEUR
   294 GBP    2291252 mEUR
    28 EUR    2319252 mEUR
   496 USD    2710596 mEUR
   463 USD    3075903 mEUR
   240 EUR    3315903 mEUR
   219 USD    3488694 mEUR
    62 USD    3537612 mEUR
    62 USD    3586530 mEUR
   283 USD    3809817 mEUR
   474 EUR    4283817 mEUR
   312 USD    4529985 mEUR
   297 GBP    4907472 mEUR
   199 USD    5064483 mEUR
