    Darilo          Klobuk
    19 GBP      24149 mEUR
    10 USD      32039 mEUR
     0 USD      32039 mEUR
     8 USD      38351 mEUR
     4 GBP      43435 mEUR
     9 EUR      52435 mEUR
    19 GBP      76584 mEUR
    18 GBP      99462 mEUR
     2 EUR     101462 mEUR
     3 EUR     104462 mEUR
    18 USD     118664 mEUR
    16 GBP     139000 mEUR
     9 USD     146101 mEUR
     0 GBP     146101 mEUR
     2 EUR     148101 mEUR
    10 GBP     160811 mEUR
     3 GBP     164624 mEUR
    17 GBP     186231 mEUR
    16 USD     198855 mEUR
    15 GBP     217920 mEUR
    19 EUR     236920 mEUR
     2 EUR     238920 mEUR
    10 USD     246810 mEUR
     7 GBP     255707 mEUR
     1 USD     256496 mEUR
     9 GBP     267935 mEUR
     1 USD     268724 mEUR
    19 GBP     292873 mEUR
     6 EUR     298873 mEUR
     6 USD     303607 mEUR
    14 USD     314653 mEUR
    10 GBP     327363 mEUR
    15 EUR     342363 mEUR
    10 EUR     352363 mEUR
    19 USD     367354 mEUR
    10 EUR     377354 mEUR
    14 GBP     395148 mEUR
    18 GBP     418026 mEUR
    13 USD     428283 mEUR
    10 EUR     438283 mEUR
    10 USD     446173 mEUR
     3 USD     448540 mEUR
     5 GBP     454895 mEUR
    12 EUR     466895 mEUR
     2 EUR     468895 mEUR
     9 USD     475996 mEUR
    12 EUR     487996 mEUR
    17 GBP     509603 mEUR
